timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779042992829,17,GET All Characters,200,OK,Thread Group 1-3,text,true,,556,159,5,5,http://localhost:3001/characters,15,0,7
1779042992832,14,GET All Characters,200,OK,Thread Group 1-4,text,true,,556,159,5,5,http://localhost:3001/characters,12,0,4
1779042992829,17,GET All Characters,200,OK,Thread Group 1-1,text,true,,556,159,5,5,http://localhost:3001/characters,17,0,7
1779042992829,17,GET All Characters,200,OK,Thread Group 1-2,text,true,,556,159,5,5,http://localhost:3001/characters,16,0,7
1779042992836,11,GET All Characters,200,OK,Thread Group 1-5,text,true,,556,159,6,6,http://localhost:3001/characters,11,0,0
1779042992847,2,POST Character,201,Created,Thread Group 1-3,text,true,,276,223,6,6,http://localhost:3001/character,2,0,0
1779042992847,3,POST Character,201,Created,Thread Group 1-1,text,true,,276,223,6,6,http://localhost:3001/character,3,0,0
1779042992847,3,POST Character,201,Created,Thread Group 1-2,text,true,,276,223,6,6,http://localhost:3001/character,3,0,0
1779042992847,4,POST Character,201,Created,Thread Group 1-4,text,true,,276,223,6,6,http://localhost:3001/character,4,0,0
1779042992848,3,POST Character,201,Created,Thread Group 1-5,text,true,,276,223,6,6,http://localhost:3001/character,3,0,0
1779042992849,2,GET Character by ID,200,OK,Thread Group 1-3,text,true,,264,160,6,6,http://localhost:3001/character/1,2,0,0
1779042992850,2,GET Character by ID,200,OK,Thread Group 1-1,text,true,,264,160,6,6,http://localhost:3001/character/1,2,0,0
1779042992850,2,GET Character by ID,200,OK,Thread Group 1-2,text,true,,264,160,6,6,http://localhost:3001/character/1,2,0,0
1779042992851,2,PUT Character,200,OK,Thread Group 1-3,text,true,,270,210,6,6,http://localhost:3001/character/2,2,0,0
1779042992852,2,PUT Character,200,OK,Thread Group 1-1,text,true,,270,210,6,6,http://localhost:3001/character/2,2,0,0
1779042992852,2,PUT Character,200,OK,Thread Group 1-2,text,true,,270,210,6,6,http://localhost:3001/character/2,2,0,0
1779042992851,3,GET Character by ID,200,OK,Thread Group 1-4,text,true,,264,160,6,6,http://localhost:3001/character/1,3,0,0
1779042992851,3,GET Character by ID,200,OK,Thread Group 1-5,text,true,,264,160,6,6,http://localhost:3001/character/1,3,0,0
1779042992847,8,GET All Characters,200,OK,Thread Group 1-6,text,true,,741,159,6,6,http://localhost:3001/characters,8,0,1
1779042992853,2,DELETE Character,404,Not Found,Thread Group 1-3,text,false,,273,213,6,6,http://localhost:3001/character/3,2,0,0
1779042992854,2,DELETE Character,404,Not Found,Thread Group 1-1,text,false,,273,213,6,6,http://localhost:3001/character/3,2,0,0
