timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779043438633,15,POST Character,201,Created,Thread Group 1-836,text,true,,278,223,195,195,http://localhost:3001/character,15,0,0
1779043438633,15,POST Character,201,Created,Thread Group 1-824,text,true,,278,223,195,195,http://localhost:3001/character,15,0,0
1779043438633,15,POST Character,201,Created,Thread Group 1-821,text,true,,278,223,195,195,http://localhost:3001/character,15,0,0
1779043438634,14,POST Character,201,Created,Thread Group 1-833,text,true,,278,223,195,195,http://localhost:3001/character,14,0,0
1779043438634,14,POST Character,201,Created,Thread Group 1-818,text,true,,278,223,195,195,http://localhost:3001/character,14,0,0
1779043438634,14,POST Character,201,Created,Thread Group 1-823,text,true,,278,223,195,195,http://localhost:3001/character,14,0,0
1779043438635,13,POST Character,201,Created,Thread Group 1-815,text,true,,278,223,195,195,http://localhost:3001/character,13,0,0
1779043438635,13,POST Character,201,Created,Thread Group 1-817,text,true,,278,223,195,195,http://localhost:3001/character,13,0,0
1779043438635,13,POST Character,201,Created,Thread Group 1-820,text,true,,278,223,195,195,http://localhost:3001/character,13,0,0
1779043438635,14,POST Character,201,Created,Thread Group 1-810,text,true,,278,223,195,195,http://localhost:3001/character,14,0,0
1779043438636,13,POST Character,201,Created,Thread Group 1-816,text,true,,278,223,195,195,http://localhost:3001/character,13,0,0
1779043438636,13,POST Character,201,Created,Thread Group 1-808,text,true,,278,223,195,195,http://localhost:3001/character,13,0,0
1779043438636,13,POST Character,201,Created,Thread Group 1-811,text,true,,278,223,195,195,http://localhost:3001/character,13,0,0
1779043438638,11,POST Character,201,Created,Thread Group 1-809,text,true,,278,223,195,195,http://localhost:3001/character,11,0,0
1779043438638,11,POST Character,201,Created,Thread Group 1-812,text,true,,278,223,195,195,http://localhost:3001/character,11,0,0
1779043438638,11,POST Character,201,Created,Thread Group 1-803,text,true,,278,223,195,195,http://localhost:3001/character,11,0,0
1779043438639,10,POST Character,201,Created,Thread Group 1-804,text,true,,278,223,195,195,http://localhost:3001/character,10,0,0
1779043438639,10,POST Character,201,Created,Thread Group 1-827,text,true,,278,223,195,195,http://localhost:3001/character,10,0,0
1779043438639,11,GET All Characters,200,OK,Thread Group 1-814,text,true,,72527,159,195,195,http://localhost:3001/characters,11,0,0
1779043438639,11,DELETE Character,404,Not Found,Thread Group 1-872,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438639,11,DELETE Character,404,Not Found,Thread Group 1-861,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438639,11,DELETE Character,404,Not Found,Thread Group 1-855,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438639,11,DELETE Character,404,Not Found,Thread Group 1-868,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438639,11,DELETE Character,404,Not Found,Thread Group 1-866,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438640,10,DELETE Character,404,Not Found,Thread Group 1-869,text,false,,273,213,195,195,http://localhost:3001/character/3,10,0,0
1779043438640,10,DELETE Character,404,Not Found,Thread Group 1-851,text,false,,273,213,195,195,http://localhost:3001/character/3,10,0,0
1779043438640,10,DELETE Character,404,Not Found,Thread Group 1-864,text,false,,273,213,195,195,http://localhost:3001/character/3,10,0,0
1779043438640,10,DELETE Character,404,Not Found,Thread Group 1-849,text,false,,273,213,195,195,http://localhost:3001/character/3,10,0,0
1779043438640,11,DELETE Character,404,Not Found,Thread Group 1-848,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438640,11,DELETE Character,404,Not Found,Thread Group 1-853,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438640,11,DELETE Character,404,Not Found,Thread Group 1-865,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438640,11,DELETE Character,404,Not Found,Thread Group 1-859,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438640,11,DELETE Character,404,Not Found,Thread Group 1-847,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438640,11,DELETE Character,404,Not Found,Thread Group 1-850,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438640,11,DELETE Character,404,Not Found,Thread Group 1-857,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438640,11,DELETE Character,404,Not Found,Thread Group 1-846,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438641,10,DELETE Character,404,Not Found,Thread Group 1-856,text,false,,273,213,195,195,http://localhost:3001/character/3,10,0,0
1779043438641,10,DELETE Character,404,Not Found,Thread Group 1-845,text,false,,273,213,195,195,http://localhost:3001/character/3,10,0,0
1779043438641,10,DELETE Character,404,Not Found,Thread Group 1-867,text,false,,273,213,195,195,http://localhost:3001/character/3,10,0,0
1779043438641,10,DELETE Character,404,Not Found,Thread Group 1-860,text,false,,273,213,195,195,http://localhost:3001/character/3,10,0,0
1779043438641,11,DELETE Character,404,Not Found,Thread Group 1-863,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438641,11,DELETE Character,404,Not Found,Thread Group 1-871,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438641,11,DELETE Character,404,Not Found,Thread Group 1-854,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438641,11,DELETE Character,404,Not Found,Thread Group 1-852,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438641,11,DELETE Character,404,Not Found,Thread Group 1-870,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438641,11,DELETE Character,404,Not Found,Thread Group 1-858,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438641,11,DELETE Character,404,Not Found,Thread Group 1-832,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
